name,id,nametype,recclass
Chajari,5316,Valid,L5
Chandakapur,5320,Valid,L5
Chandpur,5321,Valid,L6
Changde,5322,Valid,H5
Chantonnay,5325,Valid,L6
Charlotte,5328,Valid,"Iron, IVA"
Charsonville,5329,Valid,H6
Charwallas,5330,Valid,H6
Chassigny,5331,Valid,Martian (chassignite)
Château-Renard,5332,Valid,L6
Chaves,5334,Valid,Howardite
Chela,5338,Valid,H4
Chelyabinsk,57165,Valid,LL5
Chergach ,47347,Valid,H5
Chernyi Bor,5339,Valid,H4
Cherokee Springs,5340,Valid,LL6
Chervettaz,5341,Valid,L5
Chervony Kut,5342,Valid,Eucrite-mmict
Chetrinahatti,5344,Valid,Stone-uncl
Chiang Khan,5345,Valid,H6
Chicora,5349,Valid,LL6
Chisenga,5355,Valid,"Iron, IIIAB"
Chitado,5356,Valid,L6
Chitenay,5357,Valid,L6
Cilimus,5364,Valid,L5
Claxton,5374,Valid,L6
Clohars,5383,Valid,L4
Colby (Wisconsin),5395,Valid,L6
Cold Bokkeveld,5397,Valid,CM2
Coleman,5401,Valid,L6
Collescipoli,5403,Valid,H5
Conquista,5418,Valid,H4
Cosina,5451,Valid,H5
Cranganore,5465,Valid,L6
Crescent,5470,Valid,CM2
Cronstad,5474,Valid,H5
Cross Roads,5476,Valid,H5
Crumlin,5477,Valid,L5
Cumberland Falls,5496,Valid,Aubrite
Cynthiana,5500,Valid,L/LL4
Dahmani,5504,Valid,LL6
Dandapur,5511,Valid,L6
Daniel's Kuil,5513,Valid,EL6
Danville,5514,Valid,L6
Darmstadt,6603,Valid,H5
Dashoguz,6604,Valid,H5
Daule,51559,Valid,L5
De Cewsville,6621,Valid,H6
Deal,6634,Valid,L6
Delhi,6642,Valid,L5
Demina,6649,Valid,L6
Denver,6660,Valid,L6
Dergaon,6664,Valid,H5
Desuri,6693,Valid,H6
Devgaon,6694,Valid,H3.8
Devri-Khera,6696,Valid,L6
Dhajala,6698,Valid,H3.8
Dharwar,6699,Valid,OC
Dhurmsala,7640,Valid,LL6
Didim,47350,Valid,H3-5
Diep River,7642,Valid,L6
Distrito Quebracho,7649,Valid,H4
Djati-Pengilon,7652,Valid,H6
Djermaia,7656,Valid,H
Djoumine,7657,Valid,H5-6
Dokachi,7658,Valid,H5
Dolgovoli,7659,Valid,L6
Domanitch,7661,Valid,L5
Dong Ujimqin Qi,7706,Valid,Mesosiderite
Donga Kohrod,7707,Valid,H6
Dongtai,7708,Valid,LL6
Doroninsk,7718,Valid,H5-7
Dosso,7722,Valid,L6
Douar Mghila,7723,Valid,LL6
Dowa,7725,Valid,Stone-uncl
Drake Creek,7728,Valid,L6
Dresden (Ontario),7731,Valid,H6
Dubrovnik,7736,Valid,L3-6
Dunbogan,7743,Valid,L6
Dundrum,7745,Valid,H5
Dunhua,7749,Valid,Stone-uncl
Durala,7750,Valid,L6
Duruma,7752,Valid,L6
Duwun,7754,Valid,L6
Dwaleni,7755,Valid,H4-6
Dyalpur,7757,Valid,Ureilite
Dyarrl Island,7758,Valid,Mesosiderite-A1
Eagle,7760,Valid,EL6
Ehole,7774,Valid,H5
Eichstädt,7775,Valid,H5
Ekeby,7776,Valid,H4
Ekh Khera,7777,Valid,H6
El Idrissia,7807,Valid,L6
El Paso de Aguila,45977,Valid,H5
El Tigre,7819,Valid,L6
Elbert,7822,Valid,LL6
Elbogen,7823,Valid,"Iron, IID"
Elenovka,7824,Valid,L5
Ellemeet,10019,Valid,Diogenite
Emmaville,10033,Valid,Eucrite-mmict
Enshi,10038,Valid,H5
Ensisheim,10039,Valid,LL6
Épinal,10041,Valid,H5
Erakot,10042,Valid,CM2
Erevan,10043,Valid,Howardite
Ergheo,10044,Valid,L5
Erxleben,10049,Valid,H6
Esnandes,10051,Valid,L6
Essebi,10055,Valid,C2-ung
Estherville,10059,Valid,Mesosiderite-A3/4
Farmington,10074,Valid,L5
Farmville,10075,Valid,H4
Favars,10078,Valid,H5
Fayetteville,10079,Valid,H4
Feid Chair,10080,Valid,H4
Felix,10081,Valid,CO3.3
Fenghsien-Ku,10086,Valid,H5
Ferguson,10088,Valid,OC
Fermo,10091,Valid,H3-5
Fisher,10107,Valid,L6
Florence,10111,Valid,H3
Forest City,10119,Valid,H5
Forest Vale,10120,Valid,H4
Forksville,10123,Valid,L6
Forsbach,10163,Valid,H6
Forsyth,10164,Valid,L6
Fort Flatters,10166,Valid,Stone-uncl
Frankfort (stone),10177,Valid,Howardite
Fuhe,52412,Valid,L5
Fukutomi,10836,Valid,L5
Fünen,10838,Valid,Stone-uncl
Futtehpur,10839,Valid,L6
Fuyang,10840,Valid,Stone-uncl
Galapian,10846,Valid,H6
Galim (a),10848,Valid,LL6
Galim (b),10849,Valid,EH3/4-an
Galkiv,10850,Valid,H4
Gambat,10851,Valid,L6
Gao-Guenie,10854,Valid,H5
Garhi Yasin,10860,Valid,"Iron, IIE"
Garland,10861,Valid,Diogenite-pm
Gashua,44882,Valid,L6
Gasseltepaoua,10866,Valid,H5
Geidam,10870,Valid,H5
Gifu,10914,Valid,L6
Girgenti,10917,Valid,L6
Git-Git,10919,Valid,L6
Glanerbrug,10923,Valid,L/LL5
Glanggang,10924,Valid,H5-6
Glasatovo,10926,Valid,H4
Glatton,10930,Valid,L6
Gnadenfrei,10936,Valid,H5
Gopalpur,10948,Valid,H6
Gorlovka,10949,Valid,H3.7
Granes,10956,Valid,L6
Grefsheim,11196,Valid,L5
Grimsby,50911,Valid,H5
